Days,Datetime,Container,CPU %,MemUsage / Limit,Mem %, Block I/O
55,02/12/19-02:03:42,mongo,77.10%,3.495GiB / 7.696GiB,45.41%,12.9GB / 71.6GB
55,02/12/19-02:04:14,mongo,67.36%,3.496GiB / 7.696GiB,45.43%,12.9GB / 71.6GB
55,02/12/19-02:04:46,mongo,67.22%,3.495GiB / 7.696GiB,45.41%,12.9GB / 71.6GB
55,02/12/19-02:05:18,mongo,84.93%,3.496GiB / 7.696GiB,45.42%,12.9GB / 71.6GB
55,02/12/19-02:05:50,mongo,53.34%,3.493GiB / 7.696GiB,45.39%,12.9GB / 71.6GB
55,02/12/19-02:06:23,mongo,77.18%,3.491GiB / 7.696GiB,45.35%,12.9GB / 71.6GB
55,02/12/19-02:06:55,mongo,63.62%,3.492GiB / 7.696GiB,45.38%,12.9GB / 71.6GB
55,02/12/19-02:07:27,mongo,64.51%,3.488GiB / 7.696GiB,45.32%,12.9GB / 71.6GB
55,02/12/19-02:07:59,mongo,97.39%,3.485GiB / 7.696GiB,45.28%,12.9GB / 71.6GB
56,02/12/19-02:08:14,mongo,26.36%,3.487GiB / 7.696GiB,45.31%,12.9GB / 71.6GB
56,02/12/19-02:08:46,mongo,23.94%,3.513GiB / 7.696GiB,45.64%,12.9GB / 71.7GB
56,02/12/19-02:09:19,mongo,30.71%,3.51GiB / 7.696GiB,45.60%,12.9GB / 71.7GB
56,02/12/19-02:09:51,mongo,48.95%,3.506GiB / 7.696GiB,45.56%,13GB / 71.8GB
56,02/12/19-02:10:23,mongo,41.86%,3.504GiB / 7.696GiB,45.53%,13.1GB / 71.8GB
56,02/12/19-02:10:55,mongo,101.54%,3.499GiB / 7.696GiB,45.47%,13.1GB / 71.8GB
56,02/12/19-02:11:28,mongo,93.44%,3.498GiB / 7.696GiB,45.45%,13.1GB / 71.8GB
56,02/12/19-02:12:00,mongo,102.88%,3.498GiB / 7.696GiB,45.45%,13.1GB / 71.8GB
56,02/12/19-02:12:32,mongo,86.98%,3.497GiB / 7.696GiB,45.44%,13.1GB / 71.8GB
56,02/12/19-02:13:04,mongo,91.45%,3.494GiB / 7.696GiB,45.40%,13.1GB / 71.8GB
56,02/12/19-02:13:36,mongo,62.29%,3.499GiB / 7.696GiB,45.46%,13.1GB / 71.8GB
56,02/12/19-02:14:09,mongo,55.59%,3.496GiB / 7.696GiB,45.42%,13.1GB / 71.8GB
56,02/12/19-02:14:41,mongo,80.19%,3.45GiB / 7.696GiB,44.82%,13.1GB / 71.8GB
56,02/12/19-02:15:13,mongo,46.10%,3.449GiB / 7.696GiB,44.81%,13.2GB / 71.8GB
56,02/12/19-02:15:45,mongo,49.84%,3.448GiB / 7.696GiB,44.81%,13.2GB / 71.8GB
56,02/12/19-02:16:17,mongo,102.35%,3.446GiB / 7.696GiB,44.78%,13.2GB / 71.8GB
57,02/12/19-02:16:22,mongo,25.34%,3.448GiB / 7.696GiB,44.80%,13.2GB / 71.8GB
57,02/12/19-02:16:54,mongo,49.74%,3.463GiB / 7.696GiB,44.99%,13.2GB / 71.9GB
57,02/12/19-02:17:26,mongo,38.43%,3.462GiB / 7.696GiB,44.98%,13.2GB / 72GB
57,02/12/19-02:17:58,mongo,99.38%,3.459GiB / 7.696GiB,44.95%,13.2GB / 72GB
57,02/12/19-02:18:30,mongo,32.37%,3.457GiB / 7.696GiB,44.92%,13.3GB / 72GB
57,02/12/19-02:19:02,mongo,43.03%,3.455GiB / 7.696GiB,44.89%,13.3GB / 72.1GB
57,02/12/19-02:19:34,mongo,34.64%,3.442GiB / 7.696GiB,44.72%,13.3GB / 72.1GB
57,02/12/19-02:20:06,mongo,41.55%,3.442GiB / 7.696GiB,44.72%,13.3GB / 72.1GB
57,02/12/19-02:20:39,mongo,44.06%,3.44GiB / 7.696GiB,44.70%,13.4GB / 72.1GB
57,02/12/19-02:21:11,mongo,51.52%,3.447GiB / 7.696GiB,44.79%,13.4GB / 72.1GB
57,02/12/19-02:21:43,mongo,41.21%,3.446GiB / 7.696GiB,44.77%,13.4GB / 72.1GB
57,02/12/19-02:22:15,mongo,45.68%,3.434GiB / 7.696GiB,44.61%,13.4GB / 72.1GB
57,02/12/19-02:22:47,mongo,45.85%,3.445GiB / 7.696GiB,44.76%,13.4GB / 72.1GB
57,02/12/19-02:23:19,mongo,100.03%,3.441GiB / 7.696GiB,44.71%,13.4GB / 72.1GB
57,02/12/19-02:23:51,mongo,42.72%,3.442GiB / 7.696GiB,44.72%,13.4GB / 72.1GB
57,02/12/19-02:24:23,58,02/12/19-02:24:23,mongo,23.29%,3.426GiB / 7.696GiB,44.51%,13.4GB / 72.1GB
mongo,26.14%,3.426GiB / 7.696GiB,44.51%,13.4GB / 72.1GB
58,02/12/19-02:24:56,mongo,59.34%,3.446GiB / 7.696GiB,44.77%,13.4GB / 72.2GB
58,02/12/19-02:25:28,mongo,55.05%,3.463GiB / 7.696GiB,44.99%,13.4GB / 72.2GB
58,02/12/19-02:26:00,mongo,36.18%,3.496GiB / 7.696GiB,45.42%,13.5GB / 72.3GB
58,02/12/19-02:26:33,mongo,37.10%,3.494GiB / 7.696GiB,45.40%,13.5GB / 72.3GB
58,02/12/19-02:27:05,mongo,55.50%,3.49GiB / 7.696GiB,45.34%,13.6GB / 72.3GB
58,02/12/19-02:27:37,mongo,63.27%,3.485GiB / 7.696GiB,45.28%,13.6GB / 72.3GB
58,02/12/19-02:28:09,mongo,68.13%,3.479GiB / 7.696GiB,45.21%,13.6GB / 72.3GB
58,02/12/19-02:28:41,mongo,45.27%,3.472GiB / 7.696GiB,45.11%,13.6GB / 72.3GB
58,02/12/19-02:29:14,mongo,103.92%,3.47GiB / 7.696GiB,45.08%,13.6GB / 72.3GB
