Days,Datetime,Container,CPU %,MemUsage / Limit,Mem %, Block I/O
47,01/12/19-21:07:45,mongo,24.13%,3.495GiB / 7.696GiB,45.40%,7.03GB / 55GB
47,01/12/19-21:08:17,mongo,16.49%,3.494GiB / 7.696GiB,45.40%,7.03GB / 55GB
47,01/12/19-21:08:49,mongo,16.20%,3.493GiB / 7.696GiB,45.39%,7.03GB / 55GB
47,01/12/19-21:09:21,mongo,18.57%,3.494GiB / 7.696GiB,45.40%,7.03GB / 55GB
47,01/12/19-21:09:53,mongo,16.70%,3.493GiB / 7.696GiB,45.39%,7.03GB / 55GB
47,01/12/19-21:10:25,mongo,32.56%,3.492GiB / 7.696GiB,45.37%,7.07GB / 55GB
48,01/12/19-21:10:33,mongo,15.21%,3.491GiB / 7.696GiB,45.36%,7.08GB / 55GB
48,01/12/19-21:11:05,mongo,20.11%,3.494GiB / 7.696GiB,45.40%,7.08GB / 55.1GB
48,01/12/19-21:11:37,mongo,16.88%,3.495GiB / 7.696GiB,45.41%,7.08GB / 55.2GB
48,01/12/19-21:12:10,mongo,20.17%,3.494GiB / 7.696GiB,45.40%,7.08GB / 55.2GB
48,01/12/19-21:12:42,mongo,21.88%,3.494GiB / 7.696GiB,45.39%,7.08GB / 55.2GB
48,01/12/19-21:13:14,mongo,17.04%,3.491GiB / 7.696GiB,45.36%,7.08GB / 55.2GB
48,01/12/19-21:13:46,mongo,16.37%,3.491GiB / 7.696GiB,45.36%,7.08GB / 55.2GB
48,01/12/19-21:14:18,mongo,16.38%,3.491GiB / 7.696GiB,45.36%,7.08GB / 55.2GB
49,01/12/19-21:14:29,mongo,15.81%,3.492GiB / 7.696GiB,45.37%,7.11GB / 55.2GB
49,01/12/19-21:15:01,mongo,23.26%,3.498GiB / 7.696GiB,45.45%,7.11GB / 55.4GB
49,01/12/19-21:15:33,mongo,16.10%,3.496GiB / 7.696GiB,45.42%,7.11GB / 55.4GB
49,01/12/19-21:16:05,mongo,26.35%,3.497GiB / 7.696GiB,45.43%,7.11GB / 55.4GB
49,01/12/19-21:16:37,mongo,20.14%,3.497GiB / 7.696GiB,45.44%,7.11GB / 55.4GB
49,01/12/19-21:17:09,mongo,29.63%,3.498GiB / 7.696GiB,45.45%,7.11GB / 55.4GB
49,01/12/19-21:17:41,mongo,27.22%,3.496GiB / 7.696GiB,45.42%,7.11GB / 55.4GB
49,01/12/19-21:18:13,mongo,28.95%,3.497GiB / 7.696GiB,45.43%,7.11GB / 55.4GB
50,01/12/19-21:18:28,mongo,19.67%,3.497GiB / 7.696GiB,45.43%,7.15GB / 55.4GB
50,01/12/19-21:19:00,mongo,21.14%,3.499GiB / 7.696GiB,45.46%,7.16GB / 55.6GB
50,01/12/19-21:19:32,mongo,16.85%,3.499GiB / 7.696GiB,45.46%,7.16GB / 55.6GB
50,01/12/19-21:20:04,mongo,16.53%,3.497GiB / 7.696GiB,45.44%,7.16GB / 55.6GB
50,01/12/19-21:20:36,mongo,21.93%,3.497GiB / 7.696GiB,45.43%,7.16GB / 55.6GB
50,01/12/19-21:21:09,mongo,16.31%,3.496GiB / 7.696GiB,45.43%,7.16GB / 55.6GB
50,01/12/19-21:21:41,mongo,16.58%,3.495GiB / 7.696GiB,45.41%,7.16GB / 55.6GB
50,01/12/19-21:22:13,mongo,16.40%,3.494GiB / 7.696GiB,45.40%,7.16GB / 55.6GB
51,01/12/19-21:22:33,mongo,15.28%,3.49GiB / 7.696GiB,45.35%,7.2GB / 55.6GB
51,01/12/19-21:23:05,mongo,15.15%,3.495GiB / 7.696GiB,45.41%,7.2GB / 55.8GB
51,01/12/19-21:23:37,mongo,16.08%,3.495GiB / 7.696GiB,45.40%,7.2GB / 55.8GB
51,01/12/19-21:24:10,mongo,24.37%,3.497GiB / 7.696GiB,45.44%,7.2GB / 55.8GB
51,01/12/19-21:24:43,mongo,16.18%,3.497GiB / 7.696GiB,45.43%,7.2GB / 55.8GB
51,01/12/19-21:25:15,mongo,16.16%,3.496GiB / 7.696GiB,45.42%,7.21GB / 55.8GB
51,01/12/19-21:25:47,mongo,16.21%,3.495GiB / 7.696GiB,45.41%,7.21GB / 55.8GB
51,01/12/19-21:26:19,mongo,16.86%,3.494GiB / 7.696GiB,45.40%,7.21GB / 55.8GB
52,01/12/19-21:26:41,mongo,22.04%,3.494GiB / 7.696GiB,45.40%,7.26GB / 55.8GB
52,01/12/19-21:27:13,mongo,14.82%,3.497GiB / 7.696GiB,45.43%,7.26GB / 55.9GB
52,01/12/19-21:27:45,mongo,16.58%,3.495GiB / 7.696GiB,45.41%,7.26GB / 56GB
52,01/12/19-21:28:17,mongo,23.09%,3.494GiB / 7.696GiB,45.40%,7.26GB / 56GB
52,01/12/19-21:28:49,mongo,33.72%,3.493GiB / 7.696GiB,45.39%,7.26GB / 56GB
52,01/12/19-21:29:21,mongo,31.20%,3.487GiB / 7.696GiB,45.30%,7.26GB / 56GB
52,01/12/19-21:29:53,mongo,32.09%,3.492GiB / 7.696GiB,45.38%,7.26GB / 56GB
52,01/12/19-21:30:25,mongo,26.91%,3.492GiB / 7.696GiB,45.37%,7.26GB / 56GB
53,01/12/19-21:30:53,mongo,16.76%,3.491GiB / 7.696GiB,45.36%,7.31GB / 56GB
53,01/12/19-21:31:25,mongo,15.37%,3.496GiB / 7.696GiB,45.43%,7.31GB / 56.1GB
53,01/12/19-21:31:57,mongo,26.59%,3.496GiB / 7.696GiB,45.43%,7.31GB / 56.2GB
53,01/12/19-21:32:30,mongo,22.63%,3.495GiB / 7.696GiB,45.41%,7.31GB / 56.2GB
53,01/12/19-21:33:02,mongo,31.12%,3.494GiB / 7.696GiB,45.40%,7.31GB / 56.2GB
53,01/12/19-21:33:34,mongo,28.97%,3.496GiB / 7.696GiB,45.42%,7.31GB / 56.2GB
53,01/12/19-21:34:06,mongo,30.95%,3.496GiB / 7.696GiB,45.42%,7.31GB / 56.2GB
53,01/12/19-21:34:38,mongo,16.25%,3.495GiB / 7.696GiB,45.41%,7.31GB / 56.2GB
53,01/12/19-21:35:10,54,01/12/19-21:35:11,mongo,9.46%,3.495GiB / 7.696GiB,45.42%,7.37GB / 56.2GB
mongo,16.35%,3.495GiB / 7.696GiB,45.41%,7.37GB / 56.2GB
54,01/12/19-21:35:43,mongo,23.71%,3.499GiB / 7.696GiB,45.46%,7.37GB / 56.3GB
54,01/12/19-21:36:15,mongo,32.38%,3.497GiB / 7.696GiB,45.44%,7.37GB / 56.5GB
54,01/12/19-21:36:47,mongo,33.16%,3.497GiB / 7.696GiB,45.44%,7.37GB / 56.5GB
54,01/12/19-21:37:19,mongo,16.13%,3.496GiB / 7.696GiB,45.43%,7.38GB / 56.5GB
54,01/12/19-21:37:51,mongo,17.92%,3.496GiB / 7.696GiB,45.43%,7.38GB / 56.5GB
54,01/12/19-21:38:23,mongo,16.83%,3.494GiB / 7.696GiB,45.40%,7.38GB / 56.5GB
54,01/12/19-21:38:55,mongo,16.57%,3.496GiB / 7.696GiB,45.42%,7.38GB / 56.5GB
54,01/12/19-21:39:27,mongo,16.70%,3.495GiB / 7.696GiB,45.41%,7.47GB / 56.5GB
55,01/12/19-21:39:33,mongo,18.06%,3.494GiB / 7.696GiB,45.40%,7.47GB / 56.5GB
55,01/12/19-21:40:05,mongo,33.98%,3.499GiB / 7.696GiB,45.47%,7.47GB / 56.7GB
55,01/12/19-21:40:37,mongo,24.37%,3.499GiB / 7.696GiB,45.46%,7.47GB / 56.7GB
55,01/12/19-21:41:10,mongo,22.81%,3.498GiB / 7.696GiB,45.45%,7.47GB / 56.7GB
